DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,113.5,-0.447664,-0.623364,535,Accept,0.175701
11,114,-0.415465,-0.564503,1248,Accept,0.149039
11,114.5,-0.518750,-0.712500,80,Accept,0.193750
11,115,-0.412651,-0.543675,996,Accept,0.131024
11,115.5,-0.272727,-0.590909,11,Accept,0.318182
11,116,-0.651163,-0.674419,43,Accept,0.023256
11,116.5,-0.432177,-0.641956,634,Accept,0.209779
11,117,-0.444444,-0.777778,9,Accept,0.333333
11,117.5,-0.486111,-0.694444,108,Accept,0.208333
11,118,-0.394464,-0.553633,289,Accept,0.159170
11,118.5,-0.318182,-0.500000,11,Accept,0.181818
11,119,-0.500000,-0.658537,41,Accept,0.158537
11,119.5,-0.454082,-0.635204,196,Accept,0.181123
11,120,-0.291667,-0.291667,12,Tie,0.000000
11,120.5,-0.320000,-0.600000,25,Accept,0.280000
11,121,-0.500000,-0.575893,112,Accept,0.075893
11,121.5,-0.250000,-0.500000,4,Accept,0.250000
11,122,-0.571428,-0.500000,14,Decline,-0.071429
11,122.5,-0.457627,-0.644068,59,Accept,0.186441
11,123,-0.200000,-0.600000,10,Accept,0.400000
11,123.5,-0.211538,-0.692308,26,Accept,0.480769
11,124,1.000000,1.500000,1,Decline,-0.500000
11,124.5,-0.214286,-0.142857,7,Decline,-0.071429
11,125,-0.382353,-0.764706,17,Accept,0.382353
11,126,0.500000,-0.500000,2,Accept,1.000000
11,126.5,-0.230769,-0.769231,13,Accept,0.538462
11,128,-0.300000,-1.000000,5,Accept,0.700000
11,128.5,0.000000,-1.000000,1,Accept,1.000000
11,129.5,-0.750000,-1.000000,2,Accept,0.250000
11,130.5,-1.500000,-1.000000,1,Decline,-0.500000
11,132,0.000000,-1.000000,1,Accept,1.000000
11,136.5,-1.500000,-1.000000,1,Decline,-0.500000
